claim_id,page_path,claim_text,claim_type,risk_level,materiality,priority,source_requirement,proposed_source_type,source_reference,source_owner,verification_status,verification_method,last_verified,next_review_date,evidence_notes
"CLAIM-home-023","/","SigmaBlox prepared us to pitch in crucible and xTech igniter environments. I hope to be competing against each of you.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-024","/","Validate problems, join the Combine, or explore venture formation with Merge Studio.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-025","/","Post problems, run pilots, or request support through Defense Builders.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-026","/","Access dual-use teams, de-risk prototypes, or support venture spinouts.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-027","/","Join Merge Combinator and become part of the next wave of national security innovation.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-028","/","Merge Combinator is the builder-led venture studio for national security. If you're building for the Indo-Pacific mission, build with us.","factual","medium","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-home-029","/","The Combine: Validating Critical Problems and Solutions","opinion","low","medium","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-030","/","Where founders, operators, and mission owners solve real problems and form teams. The best week in defense tech for early-stage founders.","opinion","high","low","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-031","/","Validate operational problems with domain experts","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-032","/","We co-found ventures in demand by mission owners. Backed by operators, SME, and builders committed to the mission.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-033","/","Develop and deploy direct to the mission","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-001","/access","Your gateway to the defense tech community. This is not an application to an incubator—it's access to a members-only portal where you can connect, learn, and find opportunities.","opinion","high","low","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-002","/access","New here? Tell us who you are and what you're interested in.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-003","/access","We'll review your request and get back to you shortly.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-004","/access","Please try again or email access@mergecombinator.com .","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-005","/access","Questions? Learn more about Merge Combinator","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-001","/programs/the-combine","Ready to validate with real operators?","opinion","medium","high","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-002","/programs/the-combine","If you have funded technology solving Indo-Pacific problems, The Combine is the fastest path to operator validation and deployment.","factual","medium","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-003","/programs/the-combine","One week · In person · Selection-based","factual","low","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-004","/programs/the-combine","Designed to validate funded and emerging technology with operators and mission owners close to the requirement.","factual","medium","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-005","/programs/the-combine","We match funded defense tech to champion problem owners. One week, in person, with structured operator feedback and clear next steps.","factual","low","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-006","/programs/the-combine","One Week. Operator Feedback. Clear Next Steps.","factual","low","high","P0","required","public-evidence+owner-attestation","Program format attestation: The Combine is delivered as a one-week, in-person format with structured operator feedback and defined next-step decisions.","content-ops","attested-pending-doc-link","program-format-attestation","","","Headline phrasing retained; attestation recorded 2026-02-21. Link operating schedule artifact when available."
"CLAIM-programs-the-combine-007","/programs/the-combine","The Combine compresses months of discovery into five days of focused validation with the people who own the problem.","factual","low","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-008","/programs/the-combine","The Combine is for teams with real technology and real traction. Leave your slide deck at home.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-009","/programs/the-combine","Funded or revenue-backed teams with a working product","factual","low","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-010","/programs/the-combine","Emerging tech aligned to Indo-Pacific problem sets","factual","medium","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-011","/programs/the-combine","Founders and builders ready to commit to one week, in person.","factual","low","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-012","/programs/the-combine","Teams ready for direct, unfiltered operator feedback","aspirational","low","low","P2","optional","positioning-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-013","/programs/the-combine","Not funded or ready yet? Join Defense Builders to meet fellow builders and validate problems with end users.","factual","low","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-programs-the-combine-014","/programs/the-combine","Every team leaves with clear signal — validation, introductions, and a defined next step.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
